Brand,Product Name,Price,Image URL,Product URL
Vivo,Rema Drawstring Pants - Magenta,"3,500",,https://shopzetu.com/collections/vivo-bottoms/products/vivo-rema-drawstring-pants-black-copy
Vivo,Rema Drawstring Pants - Black,"3,500",,https://shopzetu.com/collections/vivo-bottoms/products/vivo-rema-drawstring-pants-mustard-copy
Vivo,Rema Drawstring Pants - Mustard,"3,500",,https://shopzetu.com/collections/vivo-bottoms/products/vivo-rema-drawstring-pants-dark-taupe-copy
Vivo,Rema Drawstring Pants - Dark Taupe,"3,500",https://shopzetu.com/cdn/shop/files/IMG_6616_{width}x.jpg?v=1748472852,https://shopzetu.com/collections/vivo-bottoms/products/vivo-rema-drawstring-pants-dark-taupe
Vivo,Zahari 3/4 Sleeve Off-Shoulder Jumpsuit - Grey / Red Bali Print,"6,250",https://shopzetu.com/cdn/shop/files/IMG_8859_{width}x.jpg?v=1747454486,https://shopzetu.com/collections/vivo-bottoms/products/vivo-zahari-3-4-sleeve-off-shoulder-jumpsuit-grey-red-bali-print
Vivo,Zahari 3/4 Sleeve Off-Shoulder Jumpsuit - Orange / Teal Bali Print,"6,250",https://shopzetu.com/cdn/shop/files/IMG_8272_59ac8a84-21b7-4a54-a774-cf4b405396b8_{width}x.jpg?v=1747454487,https://shopzetu.com/collections/vivo-bottoms/products/vivo-zahari-3-4-sleeve-off-shoulder-jumpsuit-orange-teal-bali-print
Vivo,Safa Pallazo Pants - Black,"3,550",https://shopzetu.com/cdn/shop/files/IMG_4343_92eccc34-a580-4bd8-9c7a-7563152dcd53_{width}x.jpg?v=1747362366,https://shopzetu.com/collections/vivo-bottoms/products/vivo-safa-pallazo-pants-black
Vivo,Safa Pallazo Pants - Mustard,"3,550",,https://shopzetu.com/collections/vivo-bottoms/products/vivo-safa-pallazo-pants-mustard
Vivo,Safa Pallazo Pants - Olive,"3,550",,https://shopzetu.com/collections/vivo-bottoms/products/vivo-safa-pallazo-pants-olive
Vivo,Chiffon Shorts - Navy,"3,550",,https://shopzetu.com/collections/vivo-bottoms/products/vivo-kelemi-4-0-shorts-sample-copy-copy-copy
Vivo,Chiffon  Shorts - Black,"3,550",https://shopzetu.com/cdn/shop/files/IMG_7838_0392e854-bfa7-4879-8378-3aa2e3ff4f7c_{width}x.jpg?v=1746827016,https://shopzetu.com/collections/vivo-bottoms/products/vivo-kelemi-4-0-shorts-sample-copy-copy
Vivo,Basic Crepe Pants - Magenta,"3,950",https://shopzetu.com/cdn/shop/files/02621_{width}x.jpg?v=1745547415,https://shopzetu.com/collections/vivo-bottoms/products/vivo-basic-crepe-pants-magenta
Vivo,Basic Crepe Pants - Lilac,"3,950",https://shopzetu.com/cdn/shop/files/0241_614b138d-26c2-492c-ad0d-09e77b2f2fc7_{width}x.jpg?v=1745547414,https://shopzetu.com/collections/vivo-bottoms/products/vivo-basic-crepe-pants-lilac
Vivo,Basic Crepe Pants - Lime Green,"3,950",,https://shopzetu.com/collections/vivo-bottoms/products/vivo-basic-crepe-pants-lime-green
Vivo,Niari straight leg Pants - Orange,"3,950",,https://shopzetu.com/collections/vivo-bottoms/products/vivo-niari-straight-leg-pants-navy-copy
Vivo,Niari straight leg Pants - Navy,"3,950",,https://shopzetu.com/collections/vivo-bottoms/products/vivo-niari-straight-leg-pants-green-copy
Vivo,Niari straight leg Pants - Green,"3,950",https://shopzetu.com/cdn/shop/files/4348_35255d49-2fa3-4151-b9aa-375d7dcb9205_{width}x.jpg?v=1746775109,https://shopzetu.com/collections/vivo-bottoms/products/vivo-straight-leg-pants-black-copy
Vivo,Niari straight leg Pants - Black,"3,950",https://shopzetu.com/cdn/shop/files/4126_{width}x.jpg?v=1746775090,https://shopzetu.com/collections/vivo-bottoms/products/vivo-straight-leg-pants-maroon-copy
